Date,Like,View
24/04/2025,3660,250000
24/04/2025,6200,450000
23/04/2025,19500,1500000
23/04/2025,6797,554000
23/04/2025,16200,1300000
23/04/2025,10500,803000
23/04/2025,6332,514000
23/04/2025,4097,390000
23/04/2025,6158,511000
23/04/2025,5533,416000
23/04/2025,4904,363000
23/04/2025,4265,353000
22/04/2025,9336,560000
21/04/2025,7306,539000
20/04/2025,8242,586000
19/04/2025,7343,381000
19/04/2025,28000,1500000
17/04/2025,7557,552000
15/04/2025,12600,1200000
15/04/2025,37900,2900000
15/04/2025,5698,561000
15/04/2025,10700,1100000
15/04/2025,9889,941000
15/04/2025,5861,478000
15/04/2025,3726,363000
15/04/2025,4760,457000
15/04/2025,11100,662000
13/04/2025,30100,1900000
13/04/2025,9658,1100000
13/04/2025,11000,897000
11/04/2025,42000,2100000
11/04/2025,11700,932000
09/04/2025,8529,835000
09/04/2025,6853,632000
09/04/2025,52300,3100000
08/04/2025,11600,1200000
08/04/2025,23200,1600000
08/04/2025,5731,610000
08/04/2025,9640,871000
08/04/2025,45800,3800000
08/04/2025,12500,785000
08/04/2025,7908,534000
08/04/2025,5961,400000
08/04/2025,6519,382000
08/04/2025,6538,545000
08/04/2025,14400,666000
04/04/2025,45700,2100000
03/04/2025,17700,1000000
29/03/2025,8841,554000
28/03/2025,55700,3100000
28/03/2025,12800,593000
26/03/2025,11200,953000
26/03/2025,44900,4100000
26/03/2025,20600,1100000
25/03/2025,13000,1200000
25/03/2025,15900,968000
25/03/2025,13600,1100000
25/03/2025,11000,1100000
25/03/2025,9020,618000
25/03/2025,4832,514000
25/03/2025,12300,1100000
25/03/2025,7183,471000
25/03/2025,5838,247000
25/03/2025,8774,516000
24/03/2025,5570,275000
23/03/2025,31100,1700000
22/03/2025,5954,413000
21/03/2025,33100,1800000
21/03/2025,10500,753000
20/03/2025,6379,669000
20/03/2025,9693,866000
18/03/2025,74000,3300000
18/03/2025,64800,4000000
18/03/2025,18100,1000000
18/03/2025,18300,1100000
18/03/2025,11300,654000
18/03/2025,6352,635000
18/03/2025,11300,659000
18/03/2025,9319,772000
18/03/2025,8754,647000
18/03/2025,13900,705000
17/03/2025,47900,1600000
17/03/2025,7785,408000
15/03/2025,5464,396000
14/03/2025,58600,2300000
13/03/2025,17100,926000
12/03/2025,47200,3100000
12/03/2025,14300,1400000
11/03/2025,23700,1600000
11/03/2025,29000,1500000
11/03/2025,14200,1300000
11/03/2025,31900,2900000
11/03/2025,43500,3100000
11/03/2025,8913,781000
11/03/2025,16300,930000
11/03/2025,15000,1000000
11/03/2025,15500,963000
11/03/2025,15100,788000
10/03/2025,41300,1800000
10/03/2025,6492,458000
07/03/2025,74700,3500000
06/03/2025,5091,505000
05/03/2025,5887,632000
04/03/2025,25500,1800000
04/03/2025,20800,1700000
04/03/2025,17900,1300000
04/03/2025,8486,733000
04/03/2025,14300,1100000
04/03/2025,11700,803000
04/03/2025,12400,1100000
04/03/2025,13800,808000
04/03/2025,6105,370000
01/03/2025,5226,373000